"obs","words","count"
1349,"스마트폰에서",50
1350,"세틀뱅크",50
1351,"전문업체",49
1352,"점유",49
1353,"엄격",49
1354,"미흡",49
1355,"베트남",49
1356,"동력",49
1357,"부장",49
1358,"위주",49
1359,"기획",49
1360,"해외진출",49
1361,"전무",49
1362,"로운",49
1363,"지주회사",49
1364,"월렛",49
1365,"예치",49
1366,"중고",49
1367,"방화벽",49
1368,"소재",48
1369,"당부",48
1370,"공룡",48
1371,"소셜네트워크서비스",48
1372,"연말정산",48
1373,"행보",48
1374,"화면",48
1375,"마무리",48
1376,"법상",48
1377,"연평균",48
1378,"나머지",48
1379,"미국은",48
1380,"교보생명",48
1381,"업그레이드",47
1382,"동반",47
1383,"실질적",47
1384,"시각",47
1385,"아이폰",47
1386,"강자",47
1387,"편익",47
1388,"개방",47
1389,"추구",47
1390,"추가적",47
1391,"마스터",47
1392,"잔액",47
1393,"신용정보",47
1394,"불가피",47
1395,"전산",47
1396,"실정",46
1397,"주인",46
1398,"유력",46
1399,"일본의",46
1400,"일환",46
1401,"시중",46
1402,"소프트",46
1403,"분류",46
1404,"한화",46
1405,"장터",46
1406,"일각",46
1407,"웨어",46
1408,"해석",46
1409,"중이",46
1410,"발목",46
1411,"영위",46
1412,"이노베이션",46
1413,"고유",46
1414,"원장",46
1415,"해외여행",46
1416,"신뢰도",45
1417,"유통업체",45
1418,"호주",45
1419,"발견",45
1420,"정착",45
1421,"소식",45
1422,"일자리",45
1423,"뉴스1코리아",45
1424,"대신",45
1425,"공시",45
1426,"디바이스",45
1427,"신뢰성",45
1428,"이재",45
1429,"카메라",45
1430,"협의체",45
1431,"박소",45
1432,"합성어",45
1433,"원인",45
1434,"중앙은행",45
1435,"은성",45
1436,"기본적",45
1437,"어음",45
1438,"자기",45
1439,"동양",45
1440,"프로젝트",44
1441,"도시",44
1442,"합의",44
1443,"위반",44
1444,"모두",44
1445,"투자하",44
1446,"걱정",44
1447,"아마존은",44
1448,"기타",44
1449,"부과",44
1450,"단체",44
1451,"헬스",44
1452,"출자",44
